thread_id,question_created_at,answer_created_at,answer_text,answer_len,answer_word_count
5108583549,2023-08-05 22:11:11.426000+00:00,2023-08-05 22:11:11.428000+00:00,Careers,7,1
5133555305,2023-08-09 11:57:50.739000+00:00,2023-08-09 11:57:50.741000+00:00,DB-320 s blades available??,27,4
5135142506,2023-08-09 15:08:26.868000+00:00,2023-08-09 15:08:26.870000+00:00,I am a small growing business looking to label my products to look professional.. I need a machine that will be able to acocomdate labeling for packaging / labeling mylar bags as well as bottles.? digital printing machine that can do both?,239,42
5141833239,2023-08-10 12:21:14.519000+00:00,2023-08-10 12:21:14.521000+00:00,Do you have new and used Gerber Envision,40,8
5145745679,2023-08-10 20:31:02.045000+00:00,2023-08-10 20:31:02.047000+00:00,Regional sales jobs,19,3
5196625478,2023-08-17 11:45:54.968000+00:00,2023-08-17 11:45:54.970000+00:00,Want to buy,11,3
5209823386,2023-08-19 10:26:35.059000+00:00,2023-08-19 10:26:35.061000+00:00,can you send me a link for registration to labels expo in brussel ?,67,14
5214044422,2023-08-20 20:15:26.937000+00:00,2023-08-20 20:15:26.939000+00:00,"Hello, I’m looking for a flexible packaging printing solution for short to medium runs",86,14
5215132045,2023-08-21 03:10:33.476000+00:00,2023-08-21 03:10:33.478000+00:00,Hello Dear,10,2
5233873716,2023-08-23 17:21:51.549000+00:00,2023-08-23 17:21:51.551000+00:00,what is the cost of the ARROWJET AQUA 330R,42,9
5234218377,2023-08-23 17:32:45.297000+00:00,2023-08-23 17:32:45.299000+00:00,Please have a sales rep contact me,34,7
5239336491,2023-08-24 12:40:06.530000+00:00,2023-08-24 12:40:06.532000+00:00,Packaging machines,18,2
5239720775,2023-08-24 13:11:44.653000+00:00,2023-08-24 13:11:44.655000+00:00,I am looking for a price on the aqua 330R,41,10
5254524555,2023-08-26 17:36:07.842000+00:00,2023-08-26 17:36:07.844000+00:00,Need pricing on the arrow jet aqua 330r lite,44,9
5256623381,2023-08-27 12:03:35.475000+00:00,2023-08-27 12:03:35.477000+00:00,Hi!,3,1
5270070166,2023-08-29 13:13:50.665000+00:00,2023-08-29 13:13:50.667000+00:00,"Hi! Could you plese inform us for the right address of ""Label expo"". We need it to book a hotel near",100,21
5286552678,2023-08-31 07:23:35.239000+00:00,2023-08-31 07:23:35.241000+00:00,Which country does arrow system inc is orginated,48,8
5288411787,2023-08-31 12:33:27.632000+00:00,2023-08-31 12:33:27.634000+00:00,I have a VIP code. How do I get my entrance ticket?,51,12
5292582831,2023-08-31 19:00:19.379000+00:00,2023-08-31 19:00:19.381000+00:00,short run white bopp matte laminate labels,42,7
5297197084,2023-09-01 05:06:13.357000+00:00,2023-09-01 05:06:13.359000+00:00,How can I get my ticket,23,6
5298633862,2023-09-01 10:00:56.330000+00:00,2023-09-01 10:00:56.332000+00:00,ho,2,1
5325641650,2023-09-05 23:15:21.251000+00:00,2023-09-05 23:15:21.253000+00:00,"Hello My name is Antonio, I from Mexico,",40,8
5325774153,2023-09-06 00:33:26.087000+00:00,2023-09-06 00:33:26.089000+00:00,JOB,3,1
5328237449,2023-09-06 10:41:06.281000+00:00,2023-09-06 10:41:06.283000+00:00,How much is the ArrowJet Aqua 330R?,35,7
5341412178,2023-09-07 16:49:16.666000+00:00,2023-09-07 16:49:16.668000+00:00,"hi, my name is john and i work with weedme inc in pickering, we purchased your arrowjet nova 250r, and i am looking for some info on the consumables, i sent a email to davis, i believe he is our rep.",199,41
5354756927,2023-09-10 00:00:18.843000+00:00,2023-09-10 00:00:18.845000+00:00,careers,7,1
5360198735,2023-09-11 09:23:53.456000+00:00,2023-09-11 09:23:53.458000+00:00,free enrance ticket label expo?,31,5
5370055199,2023-09-12 07:22:41.204000+00:00,2023-09-12 07:22:41.206000+00:00,"We are planning to visit your stand at Label EXPO Brussels 2023 on 13th September 2023, we are mineral water producers and we are looking for label solutions. Your voucher code will be kindly appreciated. I hope we can meet personally in Brussels on 13th September 2023.",270,47
5374242124,2023-09-12 17:40:49.825000+00:00,2023-09-12 17:40:49.827000+00:00,Do u have multiple pass printer,31,6
5391843080,2023-09-14 19:37:33.320000+00:00,2023-09-14 19:37:33.322000+00:00,can i order online?,19,4
5399332758,2023-09-15 19:32:53.180000+00:00,2023-09-15 19:32:53.182000+00:00,Hi Iam looking uv label printing and finishi,44,8
5419143972,2023-09-19 16:12:51.585000+00:00,2023-09-19 16:12:51.587000+00:00,"Hi, I am looking for a device",29,7
5432291947,2023-09-21 06:43:59.278000+00:00,2023-09-21 06:43:59.280000+00:00,support email,13,2
5440808532,2023-09-22 03:44:56.186000+00:00,2023-09-22 03:44:56.188000+00:00,"Hello Dear, I am looking for the Gerber Color Spot Series Foil. I need a few color foil. What is the price. What is the MOQ? Thank you.",135,28
5443398533,2023-09-22 14:41:28.930000+00:00,2023-09-22 14:41:28.932000+00:00,"Hi there, Mark from Oliver's Labels here. Is there anyone there I can speak to regarding our Arrow EZCut/Vicut cutting finisher. Teram/Jung/Shaan have helped us in the past.",173,28
5451905542,2023-09-24 15:00:22.055000+00:00,2023-09-24 15:00:22.057000+00:00,Cost of Any cut,15,4
5472219943,2023-09-27 09:03:14.421000+00:00,2023-09-27 09:03:14.423000+00:00,"hello, looking for a used arrow jet pro 700",43,9
5475885914,2023-09-27 17:46:06.649000+00:00,2023-09-27 17:46:06.651000+00:00,Prices,6,1
5479052624,2023-09-28 02:46:29.092000+00:00,2023-09-28 02:46:29.094000+00:00,internship,10,1
5479090716,2023-09-28 02:53:43.423000+00:00,2023-09-28 02:53:43.425000+00:00,Which varnish is better for kitchen dinner table,48,8
5512189045,2023-10-02 23:41:30.362000+00:00,2023-10-02 23:41:30.364000+00:00,careers,7,1
5516325126,2023-10-03 14:10:38.450000+00:00,2023-10-03 14:10:38.452000+00:00,current openings,16,2
5517919751,2023-10-03 17:32:35.696000+00:00,2023-10-03 17:32:35.698000+00:00,jobs,4,1
5529296468,2023-10-04 20:42:06.010000+00:00,2023-10-04 20:42:06.012000+00:00,I need the plastic belt drive gear for a gs750 plus,51,11
5544761961,2023-10-06 15:23:06.822000+00:00,2023-10-06 15:23:06.824000+00:00,I’m looking to print on small powdered drink packets aluminum,61,10
5546863151,2023-10-06 19:45:04.276000+00:00,2023-10-06 19:45:04.278000+00:00,do you sell filtrabox expand 2 if so how much,45,10
5570480897,2023-10-10 19:39:01.533000+00:00,2023-10-10 19:39:01.535000+00:00,Checking around 😁. Need to start to work for one of yours distributors. And trying to understand your printers 😁,112,20
5571597148,2023-10-10 22:10:23.821000+00:00,2023-10-10 22:10:23.823000+00:00,printer,7,1
5593866092,2023-10-13 01:36:08.537000+00:00,2023-10-13 01:36:08.539000+00:00,when was this last updated,26,5
5595685446,2023-10-13 08:03:46.473000+00:00,2023-10-13 08:03:46.475000+00:00,We are a graphics company based in the UK who are looking for a supplier of Gerber Edge foils (we have had issues with our supplier in the UK). Can you ship to the UK?,167,35
5637727928,2023-10-19 01:02:03.113000+00:00,2023-10-19 01:02:03.115000+00:00,Hi. I have a question regarding Aqua 330R Hybrid Pro,52,10
5661907632,2023-10-22 09:40:41.482000+00:00,2023-10-22 09:40:41.484000+00:00,How much does the 330R Hybrid cost please?,42,8
5672212246,2023-10-23 17:08:10.954000+00:00,2023-10-23 17:08:10.956000+00:00,"HI, I'm interested in speaking to a sales person regarding your digital label printers",86,14
5704748339,2023-10-26 17:49:13.655000+00:00,2023-10-26 17:49:13.657000+00:00,"Se,",3,1
5730782635,2023-10-30 16:24:13.208000+00:00,2023-10-30 16:24:13.210000+00:00,"Hi 👋🏾 I am looking at your Mylar printer. Do it print on the actual bag or is it stickers? Does it only do the 4x6 bags,etc. Also, what is the cost or financing options or rental of the machine? Thanks 🙏🏽",204,42
